Micromys minutus
Muriculus imberbis
Mus crociduroides
Mus famulus
Mus mayori
Mus pahari
Mus vulcani
Mus booduga
Mus caroli
Mus cervicolor
Mus cookii
Mus macedonicus
Mus musculus
Mus spicilegus
Mus spretus
Mus terricolor
Mus baoulei
Mus bufo
Mus callewaerti
Mus goundae
Mus haussa
Mus indutus
Mus kasaicus
Mus mahomet
Mus mattheyi
Mus minutoides
Mus musculoides
Mus neavei
Mus orangiae
Mus oubanguii
Mus setulosus
Mus setzeri
Mus sorella
Mus tenellus
Mus triton
Mus fernandoni
Mus phillipsi
Mus platythrix
Mus saxicola
Mus shortridgei
Mylomys dybowskii
Pelomys campanae
Pelomys fallax
Pelomys hopkinsi
Pelomys isseli
Pelomys minor
Myomys albipes
Myomys daltoni
Myomys derooi
Myomys fumatus
Myomys ruppi
Myomys verreauxii
Myomys yemeni
Stenocephalemys albocaudata
Stenocephalemys griseicauda
Nesokia bunnii
Nesokia indica
Niviventer andersoni
Niviventer brahma
Niviventer confucianus
Niviventer coxingi
Niviventer cremoriventer
Niviventer culturatus
Niviventer eha
Niviventer excelsior
Niviventer fulvescens
Niviventer hinpoon
Niviventer langbianis
Niviventer lepturus
Niviventer niviventer
Niviventer rapit
Niviventer tenaster
Otomys anchietae
Otomys angoniensis
Otomys denti
Otomys irroratus
Otomys laminatus
Otomys maximus
Otomys occidentalis
Otomys saundersiae
Otomys sloggetti
Otomys tropicalis
Otomys typus
Otomys unisulcatus
Parotomys brantsii
Parotomys littledalei
Palawanomys furvus
Paruromys dominator
Paruromys ursinus
Phloeomys cumingi
Phloeomys pallidus
Pithecheir melanurus
Pithecheir parvus
Pogonomys championi
Pogonomys loriae
Pogonomys macrourus
Pogonomys sylvestris
Praomys delectorum
Praomys hartwigi
Praomys jacksoni
Praomys minor
Praomys misonnei
Praomys morio
Praomys mutoni
Praomys rostratus
Praomys tullbergi
Rattus colletti
Rattus fuscipes
Rattus hainaldi
Rattus lutreolus
Rattus sordidus
Rattus timorensis
Rattus tunneyi
Rattus villosissimus
Rattus elaphinus
Rattus feliceus
Rattus giluwensis
Rattus jobiensis
Rattus leucopus
Rattus mordax
Rattus morotaiensis
Rattus novaeguineae
Rattus praetor
Rattus sanila
Rattus steini
Rattus annandalei
Rattus enganus
Rattus exulans
Rattus hoogerwerfi
Rattus korinchi
Rattus montanus
Rattus ranjiniae
Rattus stoicus
Rattus adustus
Rattus argentiventer
Rattus baluensis
Rattus burrus
Rattus everetti
Rattus hoffmanni
Rattus koopmani
Rattus losea
Rattus lugens
Rattus mindorensis
Rattus mollicomulus
Rattus nitidus
Rattus osgoodi
Rattus palmarum
Rattus rattus
Rattus sikkimensis
Rattus simalurensis
Rattus tanezumi
Rattus tawitawiensis
Rattus tiomanicus
Rattus turkestanicus
Rattus norvegicus
Rattus bontanus
Rattus foramineus
Rattus marmosurus
Rattus pelurus
Rattus xanthurus
Rhabdomys pumilio
Srilankamys ohiensis
Stenomys ceramicus
Stenomys niobe
Stenomys richardsoni
Stenomys vandeuseni
Stenomys verecundus
Stochomys longicaudatus
Sundamys infraluteus
Sundamys maxi
Sundamys muelleri
Taeromys arcuatus
Taeromys callitrichus
Taeromys celebensis
Taeromys hamatus
Taeromys punicans
Taeromys taerae
Vandeleuria nolthenii
Vandeleuria oleracea
Vernaya fulva
Zelotomys hildegardeae
Zelotomys woosnami
Abrawayaomys ruschii
Aepeomys fuscatus
Aepeomys lugens
Thomasomys aureus
Thomasomys baeops
Thomasomys bombycinus
Thomasomys cinereiventer
Thomasomys cinereus
Thomasomys daphne
Thomasomys eleusis
Thomasomys gracilis
Thomasomys hylophilus
Thomasomys incanus
Thomasomys ischyurus
Thomasomys kalinowskii
Thomasomys ladewi
Thomasomys laniger
Thomasomys monochromos
Thomasomys niveipes
Thomasomys notatus
Thomasomys oreas
Thomasomys paramorum
Thomasomys pyrrhonotus
Thomasomys rhoadsi
Thomasomys rosalinda
Thomasomys silvestris
Thomasomys taczanowskii
Thomasomys vestitus
Akodon lanosus
Akodon longipilis
Akodon mansoensis
Akodon sanborni
Akodon hershkovitzi
Akodon illuteus
Akodon affinis
Akodon albiventer
Akodon azarae
Akodon cursor
Akodon fumeus
Akodon iniscatus
Akodon kofordi
Akodon lindberghi
Akodon markhami
Akodon mollis
Akodon olivaceus
Akodon orophilus
Akodon puer
Akodon sanctipaulensis
Akodon serrensis
Akodon spegazzinii
Akodon subfuscus
Akodon surdus
Akodon sylvanus
Akodon torques
Akodon urichi
Akodon boliviensis
Akodon juninensis
Akodon dayi
Akodon dolores
Akodon molinae
Akodon neocenus
Akodon simulator
Akodon toba
Akodon varius
Akodon xanthorhinus
Akodon aerosus
Akodon kempi
Akodon budini
Akodon siberiae
Akodon bogotensis
Akodon latebricola
Akodon mimus
Akodon nigrita
Chroeomys andinus
Chroeomys jelskii
Andalgalomys olrogi
Andalgalomys pearsoni
Auliscomys boliviensis
Auliscomys micropus
Auliscomys pictus
Auliscomys sublimis
Phyllotis amicus
Phyllotis andium
Phyllotis bonaeriensis
Phyllotis caprinus
Phyllotis darwini
Phyllotis definitus
Phyllotis gerbillus
Phyllotis haggardi
Phyllotis magister
Phyllotis osgoodi
Phyllotis osilae
Phyllotis wolffsohni
Phyllotis xanthopygus
Graomys domorum
Graomys edithae
Graomys griseoflavus
Andinomys edax
Bibimys chacoensis
Bibimys labiosus
Bibimys torresi
Kunsia fronto
Kunsia tomentosus
Scapteromys tumidus
Blarinomys breviceps
Bolomys amoenus
Bolomys lactens
Bolomys lasiurus
Bolomys obscurus
Bolomys punctulatus
Bolomys temchuki
Calomys boliviae
Calomys callidus
Calomys callosus
Calomys hummelincki
Calomys laucha
Calomys lepidus
Calomys musculinus
Calomys sorellus
Calomys tener
Chelemys macronyx
Chelemys megalonyx
Chilomys instans
Chinchillula sahamae
Delomys dorsalis
Delomys sublineatus
Eligmodontia moreni
Eligmodontia morgani
Eligmodontia puerulus
Eligmodontia typus
Euneomys chinchilloides
Euneomys fossor
Euneomys mordax
Euneomys petersoni
Galenomys garleppi
Geoxus valdivianus
Holochilus brasiliensis
Holochilus chacarius
Holochilus magnus
Holochilus sciureus
Pseudoryzomys simplex
Irenomys tarsalis
Juscelinomys candango
Juscelinomys talpinus
Lenoxus apicalis
Melanomys caliginosus
Melanomys robustulus
Melanomys zunigae
Microryzomys altissimus
Microryzomys minutus
Neacomys guianae
Neacomys pictus
Neacomys spinosus
Neacomys tenuipes
Nectomys palmipes
Nectomys parvipes
Nectomys squamipes
Neotomys ebriosus
Nesoryzomys fernandinae
Nesoryzomys indefessus
Nesoryzomys swarthi
Notiomys edwardsii
Oecomys bicolor
Oecomys cleberi
Oecomys concolor
Oecomys flavicans
Oecomys mamorae
Oecomys paricola
Oecomys phaeotis
Oecomys rex
Oecomys roberti
Oecomys rutilus
Oecomys speciosus
Oecomys superans
Oecomys trinitatis
Oligoryzomys andinus
Oligoryzomys arenalis
Oligoryzomys chacoensis
Oligoryzomys delticola
Oligoryzomys destructor
Oligoryzomys eliurus
Oligoryzomys flavescens
Oligoryzomys fulvescens
Oligoryzomys griseolus
Oligoryzomys longicaudatus
Oligoryzomys magellanicus
Oligoryzomys microtis
Oligoryzomys nigripes
Oligoryzomys vegetus
Oligoryzomys victus
Oryzomys albigularis
Oryzomys alfaroi
Oryzomys auriventer
Oryzomys balneator
Oryzomys bolivaris
Oryzomys buccinatus
Oryzomys capito
Oryzomys chapmani
Oryzomys couesi
Oryzomys devius
Oryzomys dimidiatus
Oryzomys galapagoensis
Oryzomys gorgasi
Oryzomys hammondi
Oryzomys intectus
Oryzomys intermedius
Oryzomys keaysi
Oryzomys kelloggi
Oryzomys lamia
Oryzomys legatus
Oryzomys levipes
Oryzomys macconnelli
Oryzomys melanotis
Oryzomys nitidus
Oryzomys oniscus
Oryzomys palustris
Oryzomys polius
Oryzomys ratticeps
Oryzomys rhabdops
Oryzomys rostratus
Oryzomys saturatior
Oryzomys subflavus
Oryzomys talamancae
Oryzomys xantheolus
Oryzomys yunganus
Oxymycterus akodontius
Oxymycterus angularis
Oxymycterus delator
Oxymycterus hiska
Oxymycterus hispidus
Oxymycterus hucucha
Oxymycterus iheringi
Oxymycterus inca
Oxymycterus nasutus
Oxymycterus paramensis
Oxymycterus roberti
Oxymycterus rufus
Phaenomys ferrugineus
Podoxymys roraimae
Punomys lemminus
Reithrodon auritus
Rhagomys rufescens
Rhipidomys austrinus
Rhipidomys caucensis
Rhipidomys couesi
Rhipidomys fulviventer
Rhipidomys latimanus
Rhipidomys leucodactylus
Rhipidomys macconnelli
Rhipidomys mastacalis
Rhipidomys nitela
Rhipidomys ochrogaster
Rhipidomys scandens
Rhipidomys venezuelae
Rhipidomys venustus
Rhipidomys wetzeli
Scolomys melanops
Scolomys ucayalensis
Sigmodontomys alfari
Sigmodontomys aphrastus
Thalpomys cerradensis
Thalpomys lasiotis
Wiedomys pyrrhorhinos
Wilfredomys oenax
Wilfredomys pictipes
Zygodontomys brevicauda
Zygodontomys brunneus
Anotomys leander
Chibchanomys trichotis
Ichthyomys hydrobates
Ichthyomys pittieri
Ichthyomys stolzmanni
Ichthyomys tweedii
Neusticomys monticolus
Neusticomys mussoi
Neusticomys oyapocki
Neusticomys peruviensis
Neusticomys venezuelae
Rheomys mexicanus
Rheomys raptor
Rheomys thomasi
Rheomys underwoodi
Sigmodon alleni
Sigmodon alstoni
Sigmodon arizonae
Sigmodon fulviventer
Sigmodon hispidus
Sigmodon inopinatus
Sigmodon leucotis
Sigmodon mascotensis
Sigmodon ochrognathus
Sigmodon peruanus
Nyctomys sumichrasti
Otonyctomys hatti
Ototylomys phyllotis
Tylomys bullaris
Tylomys fulviventer
Tylomys mirae
Tylomys nudicaudus
Tylomys panamensis
Tylomys tumbalensis
Tylomys watsoni
Baiomys musculus
Baiomys taylori
Scotinomys teguina
Scotinomys xerampelinus
Ochrotomys nuttalli
Habromys chinanteco
Habromys lepturus
Habromys lophurus
Habromys simulatus
Neotomodon alstoni
Podomys floridanus
Osgoodomys banderanus
Megadontomys cryophilus
Megadontomys nelsoni
Megadontomys thomasi
Peromyscus attwateri
Peromyscus aztecus
Peromyscus boylii
Peromyscus bullatus
Peromyscus californicus
Peromyscus caniceps
Peromyscus crinitus
Peromyscus dickeyi
Peromyscus difficilis
Peromyscus eremicus
Peromyscus eva
Peromyscus furvus
Peromyscus gossypinus
Peromyscus grandis
Peromyscus gratus
Peromyscus guardia
Peromyscus guatemalensis
Peromyscus gymnotis
Peromyscus hooperi
Peromyscus interparietalis
Peromyscus leucopus
Peromyscus levipes
Peromyscus madrensis
Peromyscus maniculatus
Peromyscus mayensis
Peromyscus megalops
Peromyscus mekisturus
Peromyscus melanocarpus
Peromyscus melanophrys
Peromyscus melanotis
Peromyscus melanurus
Peromyscus merriami
Peromyscus mexicanus
Peromyscus nasutus
Peromyscus ochraventer
Peromyscus oreas
Peromyscus pectoralis
Peromyscus perfulvus
Peromyscus polionotus
Peromyscus polius
Peromyscus pseudocrinitus
Peromyscus sejugis
Peromyscus simulus
Peromyscus sitkensis
Peromyscus slevini
Peromyscus spicilegus
Peromyscus stephani
Peromyscus stirtoni
Peromyscus truei
Peromyscus winkelmanni
Peromyscus yucatanicus
Peromyscus zarhynchus
Onychomys arenicola
Onychomys leucogaster
Onychomys torridus
Isthmomys flavidus
Isthmomys pirrensis
Reithrodontomys brevirostris
Reithrodontomys darienensis
Reithrodontomys gracilis
Reithrodontomys mexicanus
Reithrodontomys paradoxus
Reithrodontomys spectabilis
Reithrodontomys creper
Reithrodontomys microdon
Reithrodontomys rodriguezi
Reithrodontomys tenuirostris
Reithrodontomys fulvescens
Reithrodontomys hirsutus
Reithrodontomys burti
Reithrodontomys chrysopsis
Reithrodontomys humulis
Reithrodontomys megalotis
Reithrodontomys montanus
Reithrodontomys raviventris
Reithrodontomys sumichrasti
Reithrodontomys zacatecae
Hodomys alleni
Xenomys nelsoni
Neotoma albigula
Neotoma angustapalata
Neotoma anthonyi
Neotoma bryanti
Neotoma bunkeri
Neotoma chrysomelas
Neotoma devia
Neotoma floridana
Neotoma goldmani
Neotoma lepida
Neotoma martinensis
Neotoma mexicana
Neotoma micropus
Neotoma nelsoni
Neotoma palatina
Neotoma stephensi
Neotoma varia
Neotoma phenax
Neotoma cinerea
Neotoma fuscipes
Nelsonia goldmani
Nelsonia neotomodon
Allocricetulus curtatus
Allocricetulus eversmanni
Cricetus cricetus
Cansumys canus
Cricetulus alticola
Cricetulus barabensis
Cricetulus kamensis
Cricetulus longicaudatus
Cricetulus migratorius
Cricetulus sokolovi
Mesocricetus auratus
Mesocricetus brandti
Mesocricetus newtoni
Mesocricetus raddei
Phodopus campbelli
Phodopus roborovskii
Phodopus sungorus
Tscherskia triton
Alticola albicauda
Alticola argentatus
Alticola barakshin
Alticola macrotis
Alticola montosa
Alticola roylei
Alticola semicanus
Alticola stoliczkanus
Alticola stracheyi
Alticola tuvinicus
Alticola lemminus
Alticola strelzowi
Clethrionomys californicus
Clethrionomys centralis
Clethrionomys gapperi
Clethrionomys glareolus
Clethrionomys rufocanus
Clethrionomys rutilus
Clethrionomys sikotanensis
Eothenomys chinensis
Eothenomys custos
Eothenomys eva
Eothenomys inez
Eothenomys melanogaster
Eothenomys olitor
Eothenomys proditor
Eothenomys regulus
Eothenomys shanseius
Phaulomys andersoni
Phaulomys smithii
Hyperacrius fertilis
Hyperacrius wynnei
Dinaromys bogdanovi
Arborimus albipes
Arborimus longicaudus
Arborimus pomo
Phenacomys intermedius
Phenacomys ungava
Arvicola sapidus
Arvicola terrestris
Blanfordimys afghanus
Blanfordimys bucharicus
Chionomys gud
